time,Meerssen,Gulp,Eyserbeek,Selzerbeek,Hommerich,Sippenaeken
2010-01-01,0.3688266,0.3677997,0.37313247,0.38220066,0.36216033,0.3545443
2010-01-02,0.15044355,0.1416682,0.16240233,0.16790454,0.15585132,0.15506063
2010-01-03,0.16430166,0.13769883,0.15059106,0.1465088,0.13038944,0.11115583
2010-01-04,0.15251814,0.12772706,0.13877988,0.14128083,0.12283796,0.10641203
2010-01-05,0.10983735,0.1118012,0.10873556,0.11427002,0.1092841,0.106153816
2010-01-06,0.03213781,0.009333482,0.024475701,0.023846399,0.0158976,0.010282422
2010-01-07,0.01751901,0.002508168,0.011696403,0.009663287,0.006442191,0.0032342116
2010-01-08,0.13099791,0.093842335,0.11702914,0.10526635,0.093116276,0.079191335
2010-01-09,0.3536684,0.35080892,0.35793278,0.35267258,0.34044185,0.3120917
2010-01-10,0.12658599,0.097327694,0.119772196,0.11088152,0.098925084,0.08708161
2010-01-11,0.06083605,0.043644745,0.057876337,0.054342672,0.05000217,0.050324827
2010-01-12,0.12358477,0.053882714,0.09347126,0.07346319,0.05810219,0.060958207
2010-01-13,0.21923634,0.23639987,0.24059516,0.24516147,0.24695253,0.26328167
2010-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,0.016606146,0.002862129,0.010631435,0.009276089,0.0064362152,0.0032181076
2010-01-16,0.34774897,0.41923168,0.37087345,0.39023614,0.41879606,0.47673872
2010-01-17,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,0.0047940165,0.0,0.011186038,0.011802185,0.007868123,0.011737652
2010-01-19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,0.36464977,0.3489937,0.3658392,0.37319696,0.359869,0.3618376
2010-01-21,0.09910487,0.072180405,0.10195855,0.096940435,0.086952545,0.08159553
2010-01-22,0.31707296,0.29911065,0.32869515,0.3345685,0.32217643,0.3116722
2010-01-23,0.26407468,0.26377392,0.27548015,0.28393522,0.27354395,0.26718655
2010-01-24,0.123902895,0.10395935,0.11002637,0.111171976,0.10499203,0.09389082
2010-01-25,0.31385046,0.27991742,0.2679933,0.2627331,0.2552462,0.22508888
2010-01-26,0.36364013,0.3468396,0.37626275,0.39575446,0.3796835,0.34103885
2010-01-27,0.32891184,0.40441927,0.39652896,0.43104285,0.433318,0.48714617
2010-01-28,0.24053517,0.11080899,0.20416105,0.16683957,0.13800539,0.12898563
2010-01-29,0.054697838,0.0018833671,0.043322023,0.02897752,0.019318348,0.051989842
2010-01-30,0.2853044,0.102725,0.2078077,0.16146642,0.12145028,0.095359124
2010-01-31,0.26884612,0.056239426,0.20496784,0.14844503,0.09896335,0.05870821
2010-02-01,0.20251526,0.08009496,0.1889292,0.16359636,0.11176903,0.086310126
2010-02-02,0.0,0.0,0.0,0.0,0.0,0.0077904747
2010-02-03,0.12953706,0.0,0.07795488,0.009236624,0.00615775,0.006883871
2010-02-04,0.0023209557,0.0,0.0,0.0,0.0,0.0
2010-02-05,0.10675315,0.035206787,0.08543581,0.063104205,0.04206947,0.021034734
2010-02-06,0.26298204,0.21156728,0.2607968,0.24884032,0.21277742,0.13594298
2010-02-07,0.2697175,0.25760195,0.26750922,0.26834828,0.25234178,0.19946563
2010-02-08,0.5918151,0.5912688,0.59809417,0.6088888,0.5807,0.5335036
2010-02-09,0.1854208,0.20725915,0.17560118,0.19312441,0.18431441,0.2227331
2010-02-10,0.1620888,0.15575445,0.14329779,0.15609327,0.1485257,0.194157
2010-02-11,0.2038845,0.21684362,0.20174079,0.2103087,0.21974798,0.27861047
2010-02-12,0.16416337,0.16795291,0.1648226,0.17168024,0.17266448,0.20475805
2010-02-13,0.13155118,0.14287832,0.13652086,0.14408842,0.1468799,0.17116393
2010-02-14,0.12759562,0.1323499,0.13823125,0.14321715,0.14168428,0.1572551
2010-02-15,0.1821015,0.19433455,0.1918658,0.20082098,0.19909449,0.2027734
2010-02-16,0.27779445,0.26149872,0.2733503,0.27715832,0.2632172,0.25151893
2010-02-17,0.18318023,0.19215623,0.18515344,0.18591177,0.19509292,0.23433454
2010-02-18,0.45104867,0.4028703,0.42312035,0.40974402,0.38291064,0.3189009
2010-02-19,0.43983215,0.40054676,0.42867097,0.4257182,0.39927205,0.3533987
2010-02-20,0.80206585,0.6890744,0.78294295,0.7607888,0.71407646,0.6651535
2010-02-21,0.6401526,0.601773,0.646049,0.65351975,0.6114866,0.5870574
2010-02-22,1.4404109,1.2420232,1.3964161,1.3523661,1.2789816,1.1243063
2010-02-23,0.1632091,0.05180575,0.12587142,0.091857746,0.061238497,0.030619249
2010-02-24,0.94906986,0.81548834,0.9458151,0.9210631,0.86984897,0.8535843
2010-02-25,1.6583098,1.4868155,1.6267672,1.5936732,1.5254682,1.4936811
2010-02-26,1.5182348,1.412003,1.5019102,1.486162,1.442596,1.455811
2010-02-27,1.5929747,1.5780863,1.5825878,1.6062587,1.5688728,1.5402807
2010-02-28,2.0823517,1.8820798,2.0496473,2.012003,1.9483484,1.9723581
2010-03-01,1.2858692,1.2562306,1.3152221,1.3179007,1.2792721,1.284145
2010-03-02,0.9062783,0.9831688,0.9483967,0.98442733,0.97492355,0.98360443
2010-03-03,0.77842957,0.8327694,0.80698484,0.82270086,0.7987234,0.75648063
2010-03-04,0.8544141,0.88988924,0.8629751,0.88974404,0.8650083,0.8485661
2010-03-05,0.7184883,0.65811837,0.69965124,0.6844516,0.6490825,0.60667825
2010-03-06,1.308316,1.2093487,1.2774326,1.2603451,1.2017246,1.0964241
2010-03-07,0.7928962,0.6491389,0.78023213,0.7544959,0.6985862,0.6342216
2010-03-08,0.30221912,0.24232972,0.28819504,0.2873237,0.267122,0.26592797
2010-03-09,0.8111939,0.73472184,0.8072753,0.7895423,0.76093394,0.7265814
2010-03-10,0.873182,0.85421354,0.88065976,0.89332616,0.8642015,0.8280578
2010-03-11,0.47714677,0.43963507,0.49069598,0.49140596,0.46097434,0.4061619
2010-03-12,0.46489295,0.3345443,0.36393523,0.32459676,0.3031042,0.2473559
2010-03-13,0.58543926,0.5259925,0.58573437,0.5645,0.54433054,0.5401353
2010-03-14,1.1032656,0.9321724,1.0833865,1.0250889,0.97514945,0.95186585
2010-03-15,1.2817615,1.1814182,1.2688807,1.2392882,1.2025315,1.1806033
2010-03-16,1.2627861,1.2256134,1.2759482,1.2761257,1.2449356,1.2216198
2010-03-17,1.7210447,1.8104379,1.8063556,1.8524549,1.8183604,1.7771503
2010-03-18,2.0389934,2.1298974,2.1453311,2.1954157,2.1541731,2.1278722
2010-03-19,1.5053724,1.6373117,1.6364484,1.7068962,1.67498,1.6612326
2010-03-20,1.7106028,1.5960934,1.7505268,1.7266945,1.6667188,1.6445484
2010-03-21,0.7664109,0.62721074,0.73353595,0.6969889,0.66547614,0.6759642
2010-03-22,1.2686503,1.3288162,1.2814988,1.3150446,1.3040563,1.3005872
2010-03-23,1.0165347,0.99769074,1.0303007,1.030462,1.0045806,0.9975133
2010-03-24,2.194489,2.3502202,2.2983284,2.361257,2.3491554,2.3531246
2010-03-25,2.5879245,2.727913,2.7130117,2.7844758,2.7450893,2.7130926
2010-03-26,1.7542241,1.6529955,1.7028623,1.6954238,1.6545525,1.6562306
2010-03-27,1.8174983,1.7176908,1.8452746,1.8178442,1.7579168,1.734488
2010-03-28,2.2874436,2.2185059,2.281999,2.276497,2.2272997,2.2131972
2010-03-29,1.7251246,1.6435802,1.6718497,1.6624589,1.6424508,1.6668478
2010-03-30,1.911601,1.8969889,1.9136248,1.9283564,1.9003612,1.9211277
2010-03-31,2.5089939,2.662104,2.5901232,2.6580863,2.623072,2.6311238
2010-04-01,1.8405677,1.9407728,1.8802565,1.9233222,1.9043951,1.8942137
2010-04-02,2.514125,2.558901,2.571664,2.6001434,2.5514946,2.5153673
2010-04-03,1.9000247,1.7968599,1.8820635,1.8682353,1.8338829,1.8779491
2010-04-04,1.911269,1.7603128,1.8616037,1.825444,1.7775698,1.7840563
2010-04-05,1.7368946,1.8651857,1.8081951,1.8541007,1.8478562,1.8626202
2010-04-06,2.7089546,2.9143748,2.822314,2.8938265,2.8919227,2.903556
2010-04-07,1.9293729,1.9765452,2.0514867,2.0620556,2.0381587,2.101733
2010-04-08,0.97757435,0.85852176,0.95443135,0.9223217,0.883661,0.9081709
2010-04-09,1.7109483,1.7896957,1.7794415,1.8073883,1.7980942,1.8362547
2010-04-10,1.7873619,1.9466541,1.8540201,1.9101555,1.9116238,1.9070253
2010-04-11,1.89748,2.0103815,1.9053955,1.9500426,1.9529954,1.9470736
2010-04-12,1.8391154,1.8942056,1.8689293,1.8988768,1.8619909,1.8049679
2010-04-13,2.5118566,2.7078,2.6471462,2.7245002,2.7104943,2.728276
2010-04-14,2.2428267,2.3998368,2.3119466,2.3614988,2.3609018,2.3652098
2010-04-15,2.5802624,2.7191513,2.6465654,2.6873722,2.6779652,2.664137
2010-04-16,1.6537457,1.8417811,1.7187719,1.7784896,1.7964483,1.8186992
2010-04-17,2.6453068,2.8227897,2.7289212,2.7792964,2.791269,2.8432739
2010-04-18,2.9416106,3.1020231,3.0349476,3.0733666,3.0843227,3.1569164
2010-04-19,2.3926523,2.5523663,2.4765615,2.51732,2.528389,2.5523984
2010-04-20,2.3971884,2.603653,2.5041854,2.568873,2.5769243,2.6090503
2010-04-21,2.0108483,2.1218379,2.0395787,2.0692682,2.0752382,2.0970535
2010-04-22,2.2280695,2.4775052,2.3076868,2.3783927,2.415924,2.4513578
2010-04-23,2.7557018,2.9748592,2.843516,2.8999257,2.9264526,2.972084
2010-04-24,3.1531339,3.3949802,3.270527,3.330067,3.3617249,3.4349642
2010-04-25,3.3309522,3.5403452,3.4671223,3.5103333,3.5358918,3.6201031
2010-04-26,2.0291183,2.061281,2.0662668,2.074738,2.0600708,2.0669768
2010-04-27,2.2152348,2.3456216,2.295908,2.327808,2.3379896,2.372681
2010-04-28,3.4740834,3.7409422,3.613084,3.6804824,3.7127695,3.7705994
2010-04-29,3.5217984,3.7907767,3.6771746,3.7475257,3.7738588,3.8086956
2010-04-30,2.3728883,2.5149236,2.4412892,2.4841614,2.4982154,2.5184975
2010-05-01,2.6919987,2.870325,2.771616,2.811729,2.8261862,2.820297
2010-05-02,2.5068362,2.4556496,2.480563,2.459619,2.4414504,2.5039113
2010-05-03,1.7758963,1.8015795,1.7945766,1.7996917,1.7925435,1.8113092
2010-05-04,2.2217352,2.3202324,2.2579892,2.2899055,2.2710268,2.2339957
2010-05-05,1.8760289,2.07331,1.9741329,2.0308332,2.0439675,2.0720596
2010-05-06,1.4992594,1.3846533,1.4889694,1.4348025,1.3896393,1.3578521
2010-05-07,1.9122508,1.832584,1.869607,1.8422894,1.8228139,1.8327373
2010-05-08,2.02898,2.1270413,2.1382635,2.1548026,2.1552382,2.1966581
2010-05-09,2.3004029,2.4084775,2.379748,2.403661,2.4075658,2.4357708
2010-05-10,1.4349755,1.4957465,1.4665413,1.483645,1.4746089,1.4604257
2010-05-11,1.3050244,1.1776667,1.2412245,1.198772,1.1714867,1.1573035
2010-05-12,1.5300184,1.5249357,1.5045565,1.5087678,1.4995867,1.506041
2010-05-13,1.2102443,1.2000062,1.206759,1.2011921,1.1898166,1.1909784
2010-05-14,1.541221,1.5076545,1.5283079,1.5135117,1.5001354,1.5020394
2010-05-15,2.6713498,2.8266137,2.7433462,2.7800708,2.7940443,2.7851696
2010-05-16,2.5985184,2.705065,2.6964567,2.7189817,2.711172,2.703992
2010-05-17,2.419912,2.2258153,2.3313093,2.2736409,2.212229,2.160434
2010-05-18,2.7310557,2.7708738,2.850809,2.843677,2.8151171,2.8379974
2010-05-19,3.3665516,3.559708,3.444855,3.4952302,3.4994256,3.414569
2010-05-20,3.6548064,3.8540928,3.750559,3.7892523,3.8112288,3.8148108
2010-05-21,2.729327,2.8211198,2.8403533,2.8483243,2.8510997,2.9125597
2010-05-22,3.5723627,3.8098493,3.6860816,3.7358596,3.7772796,3.8232498
2010-05-23,3.419688,3.6689858,3.5259848,3.5816846,3.6313174,3.686743
2010-05-24,4.245865,4.5640726,4.447679,4.5086713,4.556174,4.6086144
2010-05-25,3.4587178,3.7547624,3.5717773,3.6359,3.69089,3.745896
2010-05-26,1.632253,1.5294375,1.5598692,1.5284209,1.5075577,1.5505266
2010-05-27,2.2573347,2.2937782,2.2832253,2.2875338,2.280547,2.2715914
2010-05-28,3.1703112,3.3217893,3.256263,3.281128,3.2930195,3.3160775
2010-05-29,3.4702663,3.5593207,3.5590627,3.5702605,3.5658073,3.5827334
2010-05-30,3.206782,3.2014263,3.2222815,3.2359643,3.2104056,3.274738
2010-05-31,2.4211981,2.400805,2.3823621,2.378683,2.3674204,2.3936732
2010-06-01,2.1817513,2.18663,2.2517612,2.2444518,2.225525,2.2447746
2010-06-02,3.7880213,4.0742464,3.8733828,3.9374733,3.989849,3.989785
2010-06-03,4.3303413,4.6031127,4.477562,4.523484,4.5653396,4.6045327
2010-06-04,4.1699214,4.395158,4.2953916,4.328647,4.3722615,4.458538
2010-06-05,4.3443236,4.5489697,4.485275,4.507074,4.5477514,4.651729
2010-06-06,3.4399502,3.5496635,3.5392802,3.542088,3.5690022,3.681515
2010-06-07,3.3867857,3.587905,3.4740927,3.518272,3.5400226,3.5350206
2010-06-08,3.0929437,3.200458,3.1753595,3.2031932,3.2109869,3.2947462
2010-06-09,1.4354041,1.3405306,1.4410793,1.4078401,1.3857021,1.5217086
2010-06-10,2.2850926,2.2826445,2.3694537,2.347703,2.345089,2.4795465
2010-06-11,4.8195386,5.1709223,5.0813537,5.1499624,5.1827173,5.2274776
2010-06-12,1.8283138,1.8290019,1.7475256,1.7463477,1.7514626,1.7966582
2010-06-13,2.5302925,2.819135,2.6776426,2.7417812,2.8088245,2.97281
2010-06-14,3.46833,3.5487196,3.5420558,3.545912,3.5450246,3.602225
2010-06-15,3.6339777,3.9095428,3.7279694,3.7816525,3.8224268,3.8342543
2010-06-16,4.0970216,4.458764,4.260797,4.3294215,4.3974977,4.4722047
2010-06-17,4.0168185,4.0006924,4.076142,4.035884,3.9858153,3.843177
2010-06-18,2.7641523,3.0077758,2.8336408,2.883758,2.937812,2.9946413
2010-06-19,3.0143313,3.1551738,3.066993,3.0886147,3.1153996,3.1992075
2010-06-20,2.3266118,2.4967954,2.392689,2.431979,2.46972,2.568776
2010-06-21,2.1206758,2.1822248,2.175214,2.1801677,2.1850567,2.233157
2010-06-22,3.125044,3.31281,3.1746495,3.2059524,3.2538102,3.2911482
2010-06-23,3.934555,4.131221,4.056844,4.0768843,4.119224,4.187961
2010-06-24,4.0152006,4.2933345,4.2001276,4.235658,4.299329,4.4216847
2010-06-25,3.7362123,4.0767875,3.9064283,3.9595466,4.054004,4.1805067
2010-06-26,3.8729956,4.054036,3.9932702,3.9995308,4.0477114,4.1253552
2010-06-27,4.2174573,4.495747,4.371326,4.3939962,4.4743996,4.59285
2010-06-28,3.662482,3.8472674,3.7987077,3.7894459,3.84379,3.9332457
2010-06-29,3.2146516,3.3507848,3.2540042,3.2442904,3.301378,3.3962066
2010-06-30,3.4566433,3.750914,3.5514786,3.5781507,3.6913097,3.8285263
2010-07-01,3.5333333,3.8726811,3.6334152,3.6695423,3.7898977,3.9151738
2010-07-02,4.1750116,4.6597967,4.3482194,4.402128,4.562822,4.724984
2010-07-03,3.0701926,3.1524873,3.1857827,3.1589496,3.2116966,3.3978684
2010-07-04,3.320192,3.5828946,3.4532778,3.5185623,3.563258,3.6698654
2010-07-05,2.0102258,2.1932373,2.090696,2.1433787,2.1817653,2.333504
